State,District,Disease Type,Detection Rate
State1,District5,Dengue,2.688691948080897
State1,District2,COVID-19,9.524596902330234
State2,District2,Malaria,6.212206804035937
State1,District1,COVID-19,7.372611175001482
State2,District1,COVID-19,1.766887293294923
State3,District5,Malaria,4.56668638621578
State1,District3,Malaria,8.267603064097752
State4,District1,Dengue,8.007200071291333
State3,District1,COVID-19,1.317697807147084
State2,District3,COVID-19,9.169058953835476
State1,District1,Dengue,3.135410669784882
State5,District2,COVID-19,6.019444274379534
State5,District2,COVID-19,5.878084241123364
State4,District1,Dengue,4.343982948993472
State3,District4,Dengue,2.2043213254043232
State1,District5,Dengue,8.817150324735548
State2,District5,Malaria,6.709247341695595
State3,District4,Dengue,0.5009613418406653
State2,District5,Dengue,7.383438739126966
State1,District1,COVID-19,3.779171134929269
State3,District4,Dengue,8.92473275506
State1,District1,COVID-19,2.8263818863965606
State1,District5,COVID-19,5.477849996663786
State1,District2,COVID-19,4.761523602449247
State2,District2,Dengue,4.894002254982934
State3,District2,Dengue,4.721637426442669
State4,District1,Dengue,2.3067413103052195
State5,District5,COVID-19,0.45313989387883546
State3,District2,Dengue,5.818634048867878
State1,District5,Dengue,6.438700460287049
State5,District2,COVID-19,3.343213854888841
State4,District1,COVID-19,3.162646369925304
State2,District5,Malaria,5.107406599648613
State2,District3,Dengue,3.4268748270308533
State2,District3,COVID-19,0.7288186578533952
State3,District3,Malaria,4.012695307316787
State3,District3,Malaria,2.198941994970228
State5,District4,Malaria,6.976411596997068
State1,District2,Dengue,7.315921991216149
State3,District2,Malaria,2.7253285937027263
State3,District1,COVID-19,8.305095471416966
State2,District2,COVID-19,5.665967819229799
State4,District3,Malaria,6.064353637320418
State4,District2,Malaria,0.2503506363367907
State3,District3,Malaria,3.629483345732873
State4,District3,Dengue,9.67449645901375
State1,District3,Malaria,9.689153981864502
State1,District4,Malaria,9.056169366769705
State4,District3,COVID-19,1.5480568583447338
State3,District3,Dengue,6.864693499507117
State1,District1,Malaria,8.24374386660971
State3,District3,Malaria,8.682114600938275
State1,District1,Malaria,5.847117552806783
State5,District5,Dengue,1.6495937674553889
State3,District5,Dengue,6.887167658622244
State4,District2,Dengue,2.5104499615357407
State2,District2,Dengue,5.335376790689764
State1,District1,COVID-19,9.826429597382258
State1,District4,Malaria,2.1014623196017017
State3,District5,COVID-19,5.596156760337411
State3,District2,COVID-19,2.9754600339121
State4,District3,COVID-19,4.870277210354028
State4,District1,COVID-19,3.4827249575229975
State2,District1,COVID-19,1.0897409746584616
State3,District1,Dengue,2.8513325195695822
State5,District4,Malaria,0.9673910526998422
State4,District2,Malaria,6.052177038446283
State2,District2,COVID-19,3.1007884449890675
State5,District5,Malaria,6.818483533721918
State4,District2,COVID-19,9.362285023557236
State2,District5,COVID-19,1.6881798903002414
State1,District1,Dengue,7.049393113606935
State5,District3,Malaria,7.085868957753769
State4,District3,Dengue,4.846391342806335
State2,District4,COVID-19,8.374718612091735
State4,District4,Malaria,3.3029446605203683
State1,District1,Malaria,1.463031006714652
State2,District1,COVID-19,7.784333745534576
State3,District5,COVID-19,3.0919461178525576
State5,District1,Dengue,1.3782899038717946
State4,District1,Dengue,6.346578360601736
State2,District3,Malaria,4.87861919433552
State5,District5,Malaria,2.5997024615165105
State3,District3,Dengue,2.1119112384725205
State1,District2,Dengue,3.244527050062907
State2,District2,COVID-19,3.5285804624652535
State2,District3,Dengue,7.4864511213529905
State1,District3,Malaria,5.405427304910109
State3,District5,COVID-19,9.608969036722916
State4,District2,Malaria,4.712297721793903
State5,District2,Malaria,7.950023596561181
State4,District4,COVID-19,2.7402312568666445
State3,District2,Dengue,5.1405952006462
State3,District4,Malaria,7.645315572093508
State4,District3,Dengue,8.421152718910431
State5,District4,Malaria,5.620706222276872
State4,District1,Dengue,8.937445727851118
State1,District3,Malaria,4.09864532172483
State5,District3,Malaria,9.3882750536076
State3,District3,COVID-19,8.199866748850097
State4,District4,COVID-19,1.5472421913898484
State3,District4,Dengue,9.884859766304343
State5,District2,Dengue,5.825649846540084
State2,District3,Dengue,7.889568240744606
State2,District5,Dengue,3.6883442877329555
State4,District4,COVID-19,2.817579190834038
State5,District3,COVID-19,1.4213030833916311
State1,District3,Dengue,2.0637435520072622
State3,District2,Dengue,6.059745211784712
State2,District1,COVID-19,8.356317740235337
State4,District1,Dengue,1.944763641450688
State1,District3,Dengue,5.346361549225477
State5,District5,COVID-19,9.330741925276314
State1,District1,COVID-19,8.56201487010739
State3,District3,COVID-19,8.720768421147945
State1,District1,Malaria,8.811067270100096
State2,District1,COVID-19,0.9398491450794433
State1,District5,Malaria,5.574537403396548
State1,District5,Dengue,0.49757539583389476
State3,District4,Malaria,2.866584150449522
State4,District2,COVID-19,5.445885999590511
State4,District1,Malaria,0.22754186800904458
State3,District1,COVID-19,1.5199570293761306
State4,District1,COVID-19,2.6760288727674064
State4,District3,COVID-19,1.0685022138271678
State2,District2,Dengue,1.6424734295443586
State3,District1,COVID-19,6.8560279098878
State5,District2,Malaria,4.241695567119369
State2,District1,Malaria,4.908886272286307
State1,District3,Dengue,3.415910480641856
State2,District3,Dengue,9.438966817235867
State5,District2,Dengue,8.922872203597988
State3,District1,Malaria,9.519986397132556
State1,District2,COVID-19,8.467920405674247
State5,District2,Malaria,9.653359341453248
State4,District1,COVID-19,7.6513248710209645
State1,District5,Malaria,6.7366808499528705
State2,District1,COVID-19,8.327171336858022
State3,District1,COVID-19,0.9435499714977696
State4,District1,Malaria,4.319620572747863
State3,District1,COVID-19,9.81335407209021
State2,District2,COVID-19,7.803557250613366
State3,District4,COVID-19,8.210084193582071
State2,District1,COVID-19,7.097099391818023
State4,District3,Malaria,3.196200960115629
State1,District2,Dengue,8.336210037962507
State4,District1,Malaria,1.387222423008047
State1,District5,Malaria,3.2156885441395366
State2,District1,Malaria,2.924081843340735
State1,District3,COVID-19,4.156620643285685
State2,District5,Malaria,1.1540615171740527
State5,District2,COVID-19,3.4954852334164723
State5,District1,COVID-19,5.1068180758883335
State1,District3,Malaria,4.754211981812753
State5,District3,COVID-19,9.141591938427199
State3,District1,Dengue,7.033185110174824
State4,District1,COVID-19,6.160974716924433
State2,District4,COVID-19,0.7902487694997716
State1,District3,Malaria,2.9165849354955364
State5,District4,Malaria,8.456089765574864
State1,District2,Malaria,7.997862510508162
State5,District4,COVID-19,2.4748144823243194
State5,District5,Malaria,1.4172747339878848
State2,District3,COVID-19,3.9774658466491073
State1,District5,Malaria,5.4715284071577255
State4,District1,Malaria,7.814087668442297
State5,District2,COVID-19,9.4073065145351
State4,District4,Malaria,1.8908481830182153
State1,District5,COVID-19,8.6605107568794
State3,District3,Malaria,7.366285989753029
State4,District5,Dengue,1.44103590865277
State5,District4,Dengue,4.21876203035628
State2,District3,COVID-19,4.514832811221268
State3,District3,Malaria,5.415091003751404
State3,District5,Malaria,4.020383677932392
State5,District5,Malaria,6.487689387414357
State4,District5,Malaria,6.454568298388145
State1,District1,Dengue,8.494327088898542
State1,District2,Dengue,5.000217231499499
State5,District3,Dengue,0.8149952158481734
State2,District3,COVID-19,0.7410159994758618
State5,District4,COVID-19,2.7385805031984565
State5,District2,Malaria,1.5953546122194726
State2,District4,Dengue,3.625869929999529
State1,District2,Malaria,9.52685843334064
State3,District3,Malaria,5.127678595469177
State5,District4,Dengue,2.822369418735331
State4,District5,Dengue,0.7312420180985139
State5,District2,Dengue,5.468779880565731
State3,District4,COVID-19,8.102944662937897
State4,District3,Dengue,2.839245187948356
State3,District5,COVID-19,0.2775459909967674
State5,District3,Dengue,7.122492143668567
State5,District2,COVID-19,6.887384888013965
State1,District3,Dengue,0.9984131689103518
State3,District1,COVID-19,2.8968879408455943
State5,District2,Dengue,5.387448044538969
State1,District1,COVID-19,5.998852896240304
State2,District2,Malaria,1.7619347687975755
State5,District4,Malaria,6.621474669947192
