State/UT,1st Dose - HCWs,1st Dose - FLWs,1st Dose - 45+ years,1st Dose - 18-44 years
State5,1580,7897,30819,13140
State2,4242,6685,27856,11161
State1,2853,7388,25739,20101
State2,4994,5314,23982,10566
State4,3695,8711,36618,13964
State4,4457,7062,45487,10003
State1,4324,5340,45808,17527
State3,1744,7615,32078,20726
State3,2201,7706,28924,22807
State2,4712,9006,38081,10930
State2,1029,7741,21651,25141
State5,4439,9084,36849,13764
State5,2580,6215,35937,11549
State1,2550,6170,39786,10742
State1,4651,5015,43029,27801
State4,4816,7280,46945,10095
State5,2323,8855,42977,23716
State3,2813,6847,39863,24541
State4,3142,7703,47658,25390
State5,2145,7815,24918,29613
State2,3971,7915,46493,22460
State1,4166,8344,24947,12248
State3,1282,8340,20372,27426
State3,2215,8626,49662,24900
State4,3230,5898,48293,28534
State1,3044,8053,22681,22052
State3,4093,5670,35556,17336
State2,2808,6855,48243,11088
State2,4640,7622,37089,11805
State3,4390,6083,41817,16889
State1,2742,8382,38618,13160
State3,4994,7716,45186,19964
State3,2334,8434,33435,29358
State2,4184,5054,26779,25625
State5,1726,9961,28996,19087
State5,2975,7473,39920,29267
State5,4542,5655,43231,10710
State4,2816,8238,25699,20655
State3,1066,5777,36198,15294
State4,2459,5486,30401,14358
State3,1182,8520,42444,16149
State3,4918,9483,27349,11202
State2,2443,9510,49054,18988
State1,4503,6407,30484,16854
State3,3629,9795,29097,12816
State2,2234,6642,44904,17604
State4,2088,5640,28359,27071
State4,3844,6452,41872,13388
State2,2446,6475,29548,16989
State1,3980,5139,39620,20372
State2,2143,7416,34730,17556
State1,1740,9157,23232,14973
State4,2671,7698,28535,25004
State5,4973,6853,34274,25639
State3,1485,8343,42998,21369
State4,4708,9401,29598,27394
State3,2565,9083,20037,26948
State2,3817,5370,39980,12466
State5,2479,5301,25155,22640
State5,3661,8518,47048,26215
State5,3947,7527,36536,18994
State4,2411,5322,35145,12296
State5,1578,8773,31330,16473
State2,4344,6440,31710,15456
State2,1178,7973,45486,17590
State5,2150,7144,20456,15609
State1,2567,9624,42731,17075
State4,3224,7034,33687,22561
State3,4757,9755,23019,18723
State2,4970,5496,26053,28878
State3,1172,8469,31335,27165
State2,1152,6873,30570,10732
State3,4055,7690,27140,28766
State4,1031,6592,49178,14687
State2,2442,8214,35027,14164
State3,3515,9205,20720,18792
State4,4049,8639,47302,12895
State4,2745,8641,27261,23103
State2,2688,8269,39564,23542
State4,3201,7995,41542,19175
State5,3493,7494,41133,16579
State2,2216,7897,36276,12814
State1,1997,5397,30835,21769
State5,3112,5509,44258,29569
State1,2973,7793,33441,14092
State3,4318,9740,39523,10218
State4,4737,6861,48298,27383
State4,2618,9311,24093,26296
State3,4633,8626,21192,25389
State5,3252,8241,21217,10211
State3,1098,9913,36880,29147
State1,1976,5583,24370,19651
State2,1189,9472,32365,19619
State2,2751,7064,44253,23240
State5,2804,9310,40098,11737
State2,3592,5101,41394,15887
State5,4095,8030,39240,18998
State4,1490,5680,47969,12533
State3,1104,7470,33486,24327
State4,3107,5887,46659,29341
